rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/loss,train/learning_rate
0.56,254,0.9743386666666667,75,14400,1.41,19246,,,
0.69,256,0.9741439999999999,75,14500,1.46,19392,,,
0.59,257,0.9739546666666667,75,14600,1.42,19534,,,
0.49,259,0.9737720000000001,75,14700,1.37,19671,,,
0.59,261,0.9735893333333334,75,14800,1.37,19808,,,
0.31,263,0.9734226666666668,75,14900,1.25,19933,,,
0.54,265,0.9732346666666667,75,15000,1.41,20074,,,
0.26,266,0.9730746666666668,75,15100,1.2,20194,,,
0.28,268,0.9729106666666667,75,15200,1.23,20317,,,
0.3,270,0.972744,75,15300,1.25,20442,,,
0.47,272,0.9725626666666667,75,15400,1.36,20578,,,
0.54,273,0.9723733333333333,75,15500,1.42,20720,,,
0.46,275,0.9721906666666666,75,15600,1.37,20857,,,
0.47,277,0.9720133333333334,75,15700,1.33,20990,,,
0.51,279,0.9718346666666666,75,15800,1.34,21124,,,
0.36,281,0.9716613333333333,75,15900,1.3,21254,,,
0.76,282,0.97146,75,16000,1.51,21405,,,
0.69,284,0.9712666666666667,75,16100,1.45,21550,,,
0.42,286,0.9710906666666668,75,16200,1.32,21682,,,
0.64,288,0.970896,75,16300,1.46,21828,,,
0.34,289,0.9707266666666667,75,16400,1.27,21955,,,
0.47,291,0.9705453333333334,75,16500,1.36,22091,,,
0.46,293,0.9703653333333333,75,16600,1.35,22226,,,
0.27,295,0.9701986666666667,75,16700,1.25,22351,,,
0.54,296,0.9700093333333333,75,16800,1.42,22493,,,
0.54,298,0.969824,75,16900,1.39,22632,,,
0.6,300,0.9696306666666668,75,17000,1.45,22777,,,
0.57,302,0.9694413333333334,75,17100,1.42,22919,,,
0.52,304,0.9692573333333334,75,17200,1.38,23057,,,
0.6,305,0.969068,75,17300,1.42,23199,,,
0.3,307,0.968896,75,17400,1.29,23328,,,
0.66,309,0.9687026666666667,75,17500,1.45,23473,,,
0.35,311,0.9685293333333334,75,17600,1.3,23603,,,
0.67,313,0.9683360000000001,75,17700,1.45,23748,,,
0.67,314,0.96814,75,17800,1.47,23895,,,
0.35,316,0.9679706666666668,75,17900,1.27,24022,,,
0.49,318,0.9677866666666666,75,18000,1.38,24160,,,
0.5,320,0.9675986666666667,75,18100,1.41,24301,,,
0.66,321,0.9674066666666667,75,18200,1.44,24445,,,
0.47,323,0.9672226666666666,75,18300,1.38,24583,,,
0.6,325,0.9670333333333334,75,18400,1.42,24725,,,
0.56,327,0.9668453333333333,75,18500,1.41,24866,,,
0.42,329,0.9666693333333334,75,18600,1.32,24998,,,
0.84,330,0.9664653333333333,76,18700,1.53,25151,,,
0.24,332,0.9663053333333333,75,18800,1.2,25271,,,
0.41,334,0.9661266666666666,75,18900,1.34,25405,,,
0.38,336,0.9659533333333332,75,19000,1.3,25535,,,
0.46,337,0.9657733333333334,75,19100,1.35,25670,,,
0.46,339,0.9655986666666667,75,19200,1.31,25801,,,
0.24,341,0.9654373333333333,75,19300,1.21,25922,,,
0.32,343,0.965268,75,19400,1.27,26049,,,
0.54,344,0.9650786666666666,75,19500,1.42,26191,,,
0.42,346,0.9649013333333334,75,19600,1.33,26324,,,
0.59,348,0.964712,75,19700,1.42,26466,,,
0.49,350,0.9645266666666668,75,19800,1.39,26605,,,
0.3,352,0.9643626666666667,75,19900,1.23,26728,,,
0.53,353,0.9641733333333333,75,20000,1.42,26870,,,
0.28,355,0.9640093333333333,75,20100,1.23,26993,,,
0.25,357,0.963848,75,20200,1.21,27114,,,
0.4,359,0.9636706666666666,75,20300,1.33,27247,,,
0.57,361,0.9634826666666667,75,20400,1.41,27388,,,
0.4,363,0.9633066666666668,75,20500,1.32,27520,,,
0.57,364,0.9631213333333333,75,20600,1.39,27659,,,
0.57,366,0.9629346666666667,75,20700,1.4,27799,,,
0.38,368,0.9627613333333334,75,20800,1.3,27929,,,
0.31,370,0.9625919999999999,75,20900,1.27,28056,,,
0.61,371,0.9623999999999999,75,21000,1.44,28200,,,
0.32,373,0.9622280000000001,75,21100,1.29,28329,,,
0.49,375,0.9620413333333333,75,21200,1.4,28469,,,
0.27,377,0.9618773333333333,75,21300,1.23,28592,,,
0.43,379,0.9617040000000001,75,21400,1.3,28722,,,
0.53,381,0.961524,75,21500,1.35,28857,,,
0.26,382,0.9613586666666667,75,21600,1.24,28981,,,
0.38,384,0.9611866666666666,75,21700,1.29,29110,,,
0.76,386,0.9609853333333334,75,21800,1.51,29261,,,
0.45,388,0.9608080000000001,75,21900,1.33,29394,,,
0.43,390,0.9606306666666666,75,22000,1.33,29527,,,
0.26,391,0.9604693333333334,75,22100,1.21,29648,,,
0.34,393,0.9602999999999999,75,22200,1.27,29775,,,
0.72,395,0.9601,75,22300,1.5,29925,,,
0.37,397,0.9599279999999999,75,22400,1.29,30054,,,
