time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,time/fps,train/loss,train/learning_rate,train/n_updates
211000,2.04,297777,1.81,0.602964,3648,81,0.7918611168861389,0.001,11944
212000,2.12,299985,2.27,0.60002,3685,81,1.66366446018219,0.001,12496
213000,2.11,302045,2.25,0.5972733333333333,3720,81,1.1593198776245117,0.001,13011
214000,2.04,304225,1.94,0.5943666666666667,3757,80,1.8601549863815308,0.001,13556
215000,2.21,306400,2.28,0.5914666666666666,3794,80,1.857436180114746,0.001,14099
216000,2.24,308577,2.73,0.5885639999999999,3830,80,1.7314603328704834,0.001,14644
217000,2.3,310743,2.66,0.5856759999999999,3866,80,1.4055486917495728,0.001,15185
218000,2.24,312995,2.56,0.5826733333333334,3904,80,0.11009766161441803,0.001,15748
219000,2.34,315216,2.85,0.579712,3941,79,1.6811022758483887,0.001,16303
220000,2.06,317404,2.06,0.5767946666666668,3977,79,0.9673478007316589,0.001,16850
221000,2.2,319642,2.62,0.5738106666666667,4014,79,4.751230716705322,0.001,17410
222000,2.17,321843,2.25,0.5708759999999999,4051,79,2.2740790843963623,0.001,17960
223000,2.33,324130,2.41,0.5678266666666667,4089,79,1.7573161125183105,0.001,18532
224000,2.23,326345,2.55,0.5648733333333333,4125,79,1.373533844947815,0.001,19086
225000,2.3,328647,2.67,0.561804,4162,78,0.6435098052024841,0.001,19661
226000,2.33,330931,2.89,0.5587586666666666,4199,78,0.7368893027305603,0.001,20232
227000,2.23,333152,2.86,0.5557973333333333,4236,78,0.38867077231407166,0.001,20787
228000,2.28,335421,2.73,0.552772,4274,78,6.429424285888672,0.001,21355
229000,2.5,337699,3.18,0.5497346666666667,4312,78,0.3409973978996277,0.001,21924
230000,2.19,339873,2.35,0.5468359999999999,4349,78,2.633662462234497,0.001,22468
231000,2.46,342238,2.91,0.5436826666666668,4387,78,3.2810158729553223,0.001,23059
232000,2.59,344614,3.57,0.5405146666666667,4425,77,1.1746704578399658,0.001,23653
233000,2.47,347028,3.36,0.537296,4463,77,5.894327163696289,0.001,24256
234000,2.56,349413,3.24,0.534116,4501,77,2.6693053245544434,0.001,24853
235000,2.28,351836,2.92,0.5308853333333334,4540,77,4.93846321105957,0.001,25458
236000,2.18,354116,2.23,0.5278453333333333,4577,77,0.9345864653587341,0.001,26028
237000,2.56,356560,3.32,0.5245866666666665,4616,77,3.045208215713501,0.001,26639
238000,2.41,358999,2.98,0.5213346666666667,4655,77,3.082047939300537,0.001,27249
239000,2.36,361398,2.74,0.5181359999999999,4694,76,2.9071767330169678,0.001,27849
240000,2.62,363841,3.75,0.5148786666666667,4732,76,2.999924659729004,0.001,28460
241000,2.24,366218,2.79,0.5117093333333333,4771,76,3.7322585582733154,0.001,29054
242000,2.41,368739,2.9,0.508348,4811,76,4.409183979034424,0.001,29684
243000,2.55,371107,3.19,0.5051906666666666,4849,76,3.211106777191162,0.001,30276
244000,2.56,373622,3.59,0.5018373333333335,4888,76,1.8562302589416504,0.001,30905
245000,2.43,376060,3.23,0.49858666666666673,4927,76,4.6057000160217285,0.001,31514
246000,2.6,378520,3.8,0.49530666666666656,4966,76,4.731646537780762,0.001,32129
247000,2.76,381026,4.18,0.49196533333333337,5006,76,3.5197994709014893,0.001,32756
248000,2.53,383507,3.03,0.4886573333333333,5046,76,7.602039337158203,0.001,33376
249000,2.27,386084,2.96,0.4852213333333333,5085,75,8.510732650756836,0.001,34020
250000,2.53,388660,2.86,0.4817866666666668,5126,75,2.0703015327453613,0.001,34664
251000,2.31,391264,2.71,0.47831466666666667,5166,75,4.41550874710083,0.001,35315
252000,2.73,393741,3.77,0.475012,5205,75,2.405517578125,0.001,35935
253000,2.84,396449,4.27,0.47140133333333334,5247,75,8.072480201721191,0.001,36612
254000,2.88,399157,4.54,0.4677906666666667,5288,75,5.927674293518066,0.001,37289
255000,2.63,401729,3.6,0.4643613333333332,5328,75,5.4159836769104,0.001,37932
256000,2.73,404337,4.14,0.46088400000000007,5368,75,5.680333137512207,0.001,38584
257000,2.66,407008,3.51,0.45732266666666677,5409,75,2.71614933013916,0.001,39251
258000,2.59,409694,3.89,0.45374133333333333,5450,75,3.3596718311309814,0.001,39923
259000,2.47,412341,3.27,0.45021200000000006,5491,75,6.4606122970581055,0.001,40585
260000,2.48,415140,2.93,0.44648,48502,8,6.638556957244873,0.001,41284
261000,2.87,417829,4.65,0.44289466666666666,48528,8,0.43066325783729553,0.001,41957
262000,2.53,420534,3.12,0.4392879999999999,48549,8,13.52779483795166,0.001,42633
263000,2.54,423348,3.64,0.4355359999999999,48570,8,7.4990339279174805,0.001,43336
264000,2.58,426128,3.28,0.4318293333333334,48604,8,8.860451698303223,0.001,44031
265000,2.84,428967,4.32,0.42804399999999987,48650,8,11.659740447998047,0.001,44741
266000,2.8,431767,4.32,0.4243106666666665,48696,8,3.0112500190734863,0.001,45441
267000,2.83,434635,4.19,0.4204866666666667,48742,8,3.786757707595825,0.001,46158
268000,3.02,437530,5.04,0.4166266666666667,48788,8,17.62773323059082,0.001,46882
269000,2.95,440409,4.34,0.41278799999999993,48835,9,9.316362380981445,0.001,47602
270000,2.71,443296,3.78,0.4089386666666668,48882,9,4.18299674987793,0.001,48323
271000,2.99,446204,4.76,0.4050613333333333,48928,9,12.789873123168945,0.001,49050
272000,3.37,449375,6.03,0.4008333333333334,48978,9,8.35300350189209,0.001,49843
273000,2.96,452322,4.69,0.39690400000000015,49025,9,10.112516403198242,0.001,50580
274000,3.53,455422,7.64,0.3927706666666668,49073,9,5.783992290496826,0.001,51355
275000,2.95,458503,5.29,0.3886626666666668,49121,9,0.6882550716400146,0.001,52125
276000,3.38,461723,6.9,0.38436933333333334,49171,9,8.611632347106934,0.001,52930
277000,3.13,464874,5.29,0.38016799999999984,49220,9,8.2103271484375,0.001,53718
278000,2.91,468086,4.91,0.3758853333333332,49270,9,9.005852699279785,0.001,54521
279000,3.41,471326,6.96,0.3715653333333333,49320,9,10.987868309020996,0.001,55331
280000,3.46,474681,7.11,0.367092,49371,9,6.16197395324707,0.001,56170
281000,3.64,477921,7.9,0.3627720000000001,49421,9,8.969687461853027,0.001,56980
282000,3.43,481125,7.14,0.35850000000000004,49471,9,3.374452590942383,0.001,57781
283000,3.47,484548,7.14,0.35393600000000003,49522,9,5.441689491271973,0.001,58636
284000,3.48,488072,6.94,0.3492373333333334,49575,9,8.787775039672852,0.001,59517
285000,3.37,491401,6.46,0.3447986666666667,49626,9,0.9578568935394287,0.001,60350
286000,3.04,494843,5.92,0.34020933333333336,49678,9,12.454511642456055,0.001,61210
287000,3.42,498321,7.25,0.335572,49731,10,8.839914321899414,0.001,62080
288000,3.15,501759,5.9,0.33098800000000006,49783,10,6.739559650421143,0.001,62939
289000,3.56,505346,7.2,0.32620533333333324,49837,10,7.0343146324157715,0.001,63836
290000,3.24,508829,5.39,0.32156133333333337,49889,10,8.666563987731934,0.001,64707
291000,3.03,512378,5.73,0.3168293333333332,49942,10,7.154420852661133,0.001,65594
292000,3.62,515975,7.74,0.3120333333333334,49996,10,3.8791399002075195,0.001,66493
293000,3.77,519641,8.78,0.3071453333333334,50050,10,0.565027117729187,0.001,67410
294000,3.75,523464,8.46,0.3020480000000001,50106,10,27.00890350341797,0.001,68365
295000,3.83,527169,8.57,0.29710800000000015,50161,10,19.150598526000977,0.001,69292
296000,3.72,530951,8.65,0.2920653333333334,50217,10,10.570990562438965,0.001,70237
297000,4.04,534936,10.22,0.2867519999999999,50275,10,3.633368730545044,0.001,71233
298000,3.88,538786,9.08,0.2816186666666667,50332,10,7.167979717254639,0.001,72196
299000,3.59,542667,6.94,0.27644400000000013,50390,10,22.823673248291016,0.001,73166
300000,3.91,546527,8.19,0.2712973333333333,50446,10,9.757513999938965,0.001,74131
301000,4.34,550549,10.68,0.26593466666666665,50504,10,16.216636657714844,0.001,75137
302000,4.05,554663,9.76,0.2604493333333333,50563,10,8.582011222839355,0.001,76165
303000,4.23,558725,10.57,0.25503333333333345,50622,11,8.503966331481934,0.001,77181
304000,4.27,562832,10.64,0.2495573333333332,50681,11,18.232824325561523,0.001,78207
305000,4.87,567122,13.62,0.24383733333333346,50742,11,11.58987045288086,0.001,79280
306000,4.54,571501,11.89,0.2379986666666667,50804,11,4.526269435882568,0.001,80375
307000,4.83,576065,13.92,0.23191333333333342,50868,11,13.993446350097656,0.001,81516
